growth_run_id,source,true_sq_nm,predicted_sq_nm,dark_fraction,largest_dark_component_fraction,display_median,display_mean,height_skewness
6072,m22_frozen,1.470114827156067,0.7422541545602325,0.04425048828125,0.010009765625,0.4573701605223871,0.4607123405024985,0.2199541225890776
6072,m23,1.470114827156067,0.7422541545602325,0.0413818359375,0.0037841796875,0.5287622397223382,0.5243312648819225,-0.13680487886972525
6078,real,1.5030123591423037,2.653502121620272,0.0204620361328125,0.0016937255859375,0.6009391963906392,0.5886136505563176,-0.6378130114752715
6078,m22_frozen,1.5030123591423037,2.653502121620272,0.11517333984375,0.015380859375,0.43854524041769327,0.4556478164383309,0.21276273613189262
6078,m23,1.5030123591423037,2.653502121620272,0.0413818359375,0.00653076171875,0.5287622400821771,0.5243312665975597,-0.13680489065309048
6080,real,3.9266197681427,2.9269634131904314,0.03228759765625,0.001922607421875,0.6083382786256402,0.5816741760154652,-0.7281022615125552
6080,m22_frozen,3.9266197681427,2.9269634131904314,0.037353515625,0.00372314453125,0.534721748869783,0.532086644881981,-0.1014699081530232
6080,m23,3.9266197681427,2.9269634131904314,0.0413818359375,0.00860595703125,0.5287622408018551,0.5243312666953932,-0.13680489216159195
6082,real,1.863613247871399,2.535174805417047,0.0689849853515625,0.00732421875,0.45150933238556334,0.44828808495417616,0.07422955895108864
6082,m22_frozen,1.863613247871399,2.535174805417047,0.05828857421875,0.009765625,0.4407679635733005,0.47227081406692917,0.33271515913230193
6082,m23,1.863613247871399,2.535174805417047,0.0413818359375,0.00531005859375,0.5287622640768059,0.5243312904067448,-0.13680489095760626
6084,real,1.391980767250061,2.8602026633360924,0.0288543701171875,0.001312255859375,0.5907003325550046,0.5789999841040321,-0.45267836241776144
6084,m22_frozen,1.391980767250061,2.8602026633360924,0.0548095703125,0.0078125,0.5014193087663376,0.5027595863995982,0.02815663908187477
6084,m23,1.391980767250061,2.8602026633360924,0.0413818359375,0.00567626953125,0.5287622411616941,0.5243312683421255,-0.13680481303753
6085,real,2.2395859956741333,4.2855071028198,0.0398406982421875,0.004852294921875,0.5416866577013806,0.5297210166011324,-0.27190387816670436
6085,m22_frozen,2.2395859956741333,4.2855071028198,0.03179931640625,0.0028076171875,0.5660312801253733,0.5582379643199776,-0.32320137120948306
6085,m23,2.2395859956741333,4.2855071028198,0.03179931640625,0.0028076171875,0.5660312801253733,0.5582379643199776,-0.32320137120948306
