target,method,coverage,retained_growth_group_count,mae,median_absolute_error,pearson_r,retained_growth_run_ids
FSMI_nm,M14h_nested_support_aware_selector,1.0,23,1.367371959192949,0.7775989085108765,0.24729122251758853,6099;6063;6090;6095;6080;6085;6078;6048;6022;6033;6081;6084;6072;6094;6082;6029;6057;6028;6062;6070;6047;6056;6101
FSMI_nm,M14h_nested_support_aware_selector,0.9130434782608695,21,1.473986787063442,0.8368240030779965,0.18200307739785526,6099;6063;6090;6095;6080;6085;6078;6048;6022;6033;6081;6084;6072;6094;6082;6029;6057;6028;6062;6070;6047
FSMI_nm,M14h_nested_support_aware_selector,0.8260869565217391,19,1.5971274417862282,0.9004169177216617,0.1850892278334984,6099;6063;6090;6095;6080;6085;6078;6048;6022;6033;6081;6084;6072;6094;6082;6029;6057;6028;6062
FSMI_nm,M14h_nested_support_aware_selector,0.7391304347826086,17,1.7222670962605866,0.9959336899433584,0.15046775130867124,6099;6063;6090;6095;6080;6085;6078;6048;6022;6033;6081;6084;6072;6094;6082;6029;6057
FSMI_nm,M14h_nested_support_aware_selector,0.6086956521739131,14,1.9719956535918917,1.1753235296531472,0.09876629846278867,6099;6063;6090;6095;6080;6085;6078;6048;6022;6033;6081;6084;6072;6094
FSMI_nm,M14h_nested_support_aware_selector,0.5217391304347826,12,2.1631560040845548,1.3281607587954092,0.058491014984137085,6099;6063;6090;6095;6080;6085;6078;6048;6022;6033;6081;6084
Rq_nm,M12a_frozen_alpha1,1.0,23,1.9100747989313347,1.3221523767382153,0.26539275785000693,6090;6080;6099;6033;6095;6062;6085;6084;6048;6081;6078;6063;6070;6072;6057;6056;6022;6029;6082;6047;6028;6094;6101
Rq_nm,M12a_frozen_alpha1,0.9130434782608695,21,2.0031041211705904,1.896470534415803,0.1775075030515308,6090;6080;6099;6033;6095;6062;6085;6084;6048;6081;6078;6063;6070;6072;6057;6056;6022;6029;6082;6047;6028
Rq_nm,M12a_frozen_alpha1,0.8260869565217391,19,2.1371608900436168,2.077071047639861,0.13829881628513613,6090;6080;6099;6033;6095;6062;6085;6084;6048;6081;6078;6063;6070;6072;6057;6056;6022;6029;6082
Rq_nm,M12a_frozen_alpha1,0.7391304347826086,17,2.352688256110089,2.1066810497188397,0.06736800242871988,6090;6080;6099;6033;6095;6062;6085;6084;6048;6081;6078;6063;6070;6072;6057;6056;6022
Rq_nm,M12a_frozen_alpha1,0.6086956521739131,14,2.580827545746011,2.117120225158587,0.054879129371270624,6090;6080;6099;6033;6095;6062;6085;6084;6048;6081;6078;6063;6070;6072
Rq_nm,M12a_frozen_alpha1,0.5217391304347826,12,2.742721417809786,2.1291287233123226,0.004054633960745596,6090;6080;6099;6033;6095;6062;6085;6084;6048;6081;6078;6063
Rq_nm,M14a_regularized_alpha10,1.0,23,1.6044197785285417,1.1027514618029373,0.35859367250685453,6022;6099;6090;6080;6063;6095;6033;6078;6084;6085;6072;6048;6094;6056;6070;6057;6081;6062;6082;6047;6029;6028;6101
Rq_nm,M14a_regularized_alpha10,0.9130434782608695,21,1.6433507343069824,1.1027514618029373,0.257898219968569,6022;6099;6090;6080;6063;6095;6033;6078;6084;6085;6072;6048;6094;6056;6070;6057;6081;6062;6082;6047;6029
Rq_nm,M14a_regularized_alpha10,0.8260869565217391,19,1.7588636400065398,1.1461267634523522,0.2443414773104577,6022;6099;6090;6080;6063;6095;6033;6078;6084;6085;6072;6048;6094;6056;6070;6057;6081;6062;6082
Rq_nm,M14a_regularized_alpha10,0.7391304347826086,17,1.909045385964551,1.2992774445742712,0.20412275752048714,6022;6099;6090;6080;6063;6095;6033;6078;6084;6085;6072;6048;6094;6056;6070;6057;6081
Rq_nm,M14a_regularized_alpha10,0.6086956521739131,14,2.111270797173199,1.4190795560747116,0.18855287577432014,6022;6099;6090;6080;6063;6095;6033;6078;6084;6085;6072;6048;6094;6056
Rq_nm,M14a_regularized_alpha10,0.5217391304347826,12,2.425813323599477,1.746268591120352,0.17911555490588665,6022;6099;6090;6080;6063;6095;6033;6078;6084;6085;6072;6048
Rq_nm,M14b_rheed_density_weighted,1.0,23,1.4961357322474085,0.9739018393822481,0.3724637951747646,6095;6099;6080;6022;6090;6063;6085;6033;6081;6084;6057;6029;6056;6078;6048;6094;6072;6047;6062;6082;6070;6028;6101
Rq_nm,M14b_rheed_density_weighted,0.9130434782608695,21,1.5417848924954183,0.9479180603665198,0.28842049145883514,6095;6099;6080;6022;6090;6063;6085;6033;6081;6084;6057;6029;6056;6078;6048;6094;6072;6047;6062;6082;6070
Rq_nm,M14b_rheed_density_weighted,0.8260869565217391,19,1.6355711878273342,0.991940111245631,0.2703101359478509,6095;6099;6080;6022;6090;6063;6085;6033;6081;6084;6057;6029;6056;6078;6048;6094;6072;6047;6062
Rq_nm,M14b_rheed_density_weighted,0.7391304347826086,17,1.7719539198932694,1.0130361541658819,0.28253643454117927,6095;6099;6080;6022;6090;6063;6085;6033;6081;6084;6057;6029;6056;6078;6048;6094;6072
