descriptor,feature,group,mean_importance_delta_mse,std_importance_delta_mse,fold_count
island_count,iqr_projection_peak_count_x,other_stable_geometry,2215.027481201105,0.0,1
island_mean_area_px,iqr_nearest_neighbor_distance_mean,spacing_pairwise_distance,2158.453562244773,0.0,1
island_count,trimmed_mean_centroid_y_std,other_stable_geometry,1915.4627167510334,0.0,1
island_count,weighted_mean_projection_peak_count_y,other_stable_geometry,1613.2066041110083,0.0,1
island_count,weighted_median_orientation_entropy,orientation_anisotropy,1523.1650566025637,0.0,1
island_count,iqr_mean_aspect_ratio,elongated_bar_like,1463.695677188225,0.0,1
island_count,std_center_component_fraction,other_stable_geometry,1428.8883228863124,0.0,1
island_count,iqr_centroid_y_std,other_stable_geometry,1256.1191967572086,0.0,1
island_mean_area_px,iqr_pairwise_distance_hist_3,spacing_pairwise_distance,1178.571950240992,0.0,1
island_count,weighted_mean_elongated_spot_count,spot_count_density,1100.2732929664198,0.0,1
island_mean_area_px,iqr_vertical_spacing_peak,spacing_pairwise_distance,1008.7378335734829,0.0,1
island_count,std_artifact_candidate_count,mask_quality,778.7284651154187,0.0,1
island_count,iqr_centroid_x_mean,other_stable_geometry,518.3673915304244,0.0,1
autocorrelation_length_px,weighted_median_median_eccentricity,elongated_bar_like,420.7630332580659,0.0,1
autocorrelation_length_px,weighted_median_median_aspect_ratio,elongated_bar_like,211.05065319459777,0.0,1
island_count,std_mean_area,other_stable_geometry,200.56972871930338,0.0,1
autocorrelation_length_px,weighted_mean_median_aspect_ratio,elongated_bar_like,155.63039852377608,0.0,1
island_count,weighted_mean_snr_score,mask_quality,135.41874387627468,0.0,1
autocorrelation_length_px,weighted_mean_pairwise_distance_hist_1,spacing_pairwise_distance,133.2326454807735,0.0,1
autocorrelation_length_px,iqr_pairwise_distance_hist_3,spacing_pairwise_distance,132.5730905145956,0.0,1
autocorrelation_length_px,weighted_median_orientation_entropy,orientation_anisotropy,128.95213764251912,0.0,1
autocorrelation_length_px,weighted_mean_ring_likeness_proxy,other_stable_geometry,126.82373945151414,0.0,1
island_count,iqr_centroid_y_mean,other_stable_geometry,117.24292259966023,0.0,1
autocorrelation_length_px,weighted_mean_projection_peak_prominence_y,other_stable_geometry,113.90460842500761,0.0,1
autocorrelation_length_px,std_projection_peak_count_y,other_stable_geometry,109.59114234155959,0.0,1
autocorrelation_length_px,weighted_mean_diffuse_blob_count,other_stable_geometry,93.83540610074249,0.0,1
autocorrelation_length_px,weighted_median_pairwise_distance_hist_1,spacing_pairwise_distance,86.43465266215958,0.0,1
autocorrelation_length_px,weighted_mean_orientation_entropy,orientation_anisotropy,83.5041690278066,0.0,1
autocorrelation_length_px,std_centroid_y_mean,other_stable_geometry,83.39691388555434,0.0,1
autocorrelation_length_px,iqr_projection_peak_prominence_x,other_stable_geometry,82.40496555267362,0.0,1
autocorrelation_length_px,std_ring_likeness_proxy,other_stable_geometry,74.99244011461542,0.0,1
autocorrelation_length_px,trimmed_mean_pairwise_distance_hist_1,spacing_pairwise_distance,74.24189322689892,0.0,1
autocorrelation_length_px,std_pairwise_distance_hist_2,spacing_pairwise_distance,69.76908160509652,0.0,1
autocorrelation_length_px,std_mean_eccentricity,elongated_bar_like,65.8248107851108,0.0,1
autocorrelation_length_px,iqr_projection_peak_count_x,other_stable_geometry,59.6350951093882,0.0,1
autocorrelation_length_px,weighted_mean_centroid_x_mean,other_stable_geometry,56.19079231584817,0.0,1
autocorrelation_length_px,iqr_artifact_candidate_count,mask_quality,44.424233176339385,0.0,1
autocorrelation_length_px,weighted_median_vertical_spacing_peak,spacing_pairwise_distance,39.61663656184908,0.0,1
autocorrelation_length_px,weighted_mean_center_component_fraction,other_stable_geometry,38.800548686898765,0.0,1
autocorrelation_length_px,weighted_mean_mean_aspect_ratio,elongated_bar_like,37.97031853024089,0.0,1
autocorrelation_length_px,trimmed_mean_right_side_component_fraction,other_stable_geometry,37.77151051780368,0.0,1
autocorrelation_length_px,std_spot_to_streak_ratio,elongated_bar_like,36.42142319667971,0.0,1
autocorrelation_length_px,trimmed_mean_median_aspect_ratio,elongated_bar_like,35.85551433483761,0.0,1
autocorrelation_length_px,weighted_mean_pairwise_distance_hist_0,spacing_pairwise_distance,35.568558411855975,0.0,1
autocorrelation_length_px,weighted_median_centroid_x_mean,other_stable_geometry,34.177107273481624,0.0,1
autocorrelation_length_px,weighted_median_ring_likeness_proxy,other_stable_geometry,29.93269532085776,0.0,1
autocorrelation_length_px,std_center_component_fraction,other_stable_geometry,25.685962163193267,0.0,1
autocorrelation_length_px,iqr_elongated_spot_count,spot_count_density,25.110011374115516,0.0,1
autocorrelation_length_px,weighted_mean_spot_to_streak_ratio,elongated_bar_like,24.777447912295088,0.0,1
autocorrelation_length_px,trimmed_mean_spot_to_streak_ratio,elongated_bar_like,24.172840268660252,0.0,1
autocorrelation_length_px,weighted_median_bar_like_score,elongated_bar_like,22.874567597189184,0.0,1
autocorrelation_length_px,trimmed_mean_vertical_spacing_peak,spacing_pairwise_distance,21.82805084757547,0.0,1
autocorrelation_length_px,std_elongated_spot_count,spot_count_density,21.312681786897883,0.0,1
autocorrelation_length_px,weighted_mean_median_eccentricity,elongated_bar_like,20.958776537435938,0.0,1
autocorrelation_length_px,weighted_mean_bar_like_score,elongated_bar_like,20.87143778562495,0.0,1
autocorrelation_length_px,weighted_median_projection_peak_prominence_y,other_stable_geometry,20.28023361959322,0.0,1
autocorrelation_length_px,trimmed_mean_projection_peak_prominence_y,other_stable_geometry,19.3972848952842,0.0,1
autocorrelation_length_px,std_component_density,spot_count_density,17.836662568777683,0.0,1
autocorrelation_length_px,weighted_median_fft_low_power,fft_psd,17.180331838780603,0.0,1
autocorrelation_length_px,weighted_mean_vertical_spacing_peak,spacing_pairwise_distance,17.14813736906899,0.0,1
autocorrelation_length_px,iqr_centroid_x_mean,other_stable_geometry,16.548851306443225,0.0,1
autocorrelation_length_px,iqr_fft_anisotropy,orientation_anisotropy,16.46804414076871,0.0,1
autocorrelation_length_px,trimmed_mean_ring_likeness_proxy,other_stable_geometry,15.95975279650122,0.0,1
autocorrelation_length_px,std_projection_peak_count_x,other_stable_geometry,14.591268571960882,0.0,1
autocorrelation_length_px,trimmed_mean_orientation_entropy,orientation_anisotropy,14.281273358784802,0.0,1
autocorrelation_length_px,trimmed_mean_mean_aspect_ratio,elongated_bar_like,12.706770773431003,0.0,1
autocorrelation_length_px,weighted_median_elongated_spot_count,spot_count_density,12.486528468967322,0.0,1
autocorrelation_length_px,weighted_median_spot_to_streak_ratio,elongated_bar_like,12.001355623681093,0.0,1
autocorrelation_length_px,weighted_median_center_component_fraction,other_stable_geometry,11.716427742347605,0.0,1
autocorrelation_length_px,weighted_mean_projection_peak_count_x,other_stable_geometry,10.321218042388523,0.0,1
autocorrelation_length_px,trimmed_mean_centroid_x_mean,other_stable_geometry,9.904872925718905,0.0,1
autocorrelation_length_px,weighted_mean_right_side_component_fraction,other_stable_geometry,9.8211346767132,0.0,1
autocorrelation_length_px,trimmed_mean_fft_low_power,fft_psd,9.74452706932766,0.0,1
autocorrelation_length_px,weighted_median_mean_aspect_ratio,elongated_bar_like,8.920884979199172,0.0,1
autocorrelation_length_px,iqr_mean_aspect_ratio,elongated_bar_like,8.862063686762099,0.0,1
autocorrelation_length_px,weighted_mean_elongated_spot_count,spot_count_density,8.26992751911314,0.0,1
autocorrelation_length_px,std_total_component_count,spot_count_density,8.230888147599785,0.0,1
autocorrelation_length_px,std_snr_score,mask_quality,8.207670095260823,0.0,1
autocorrelation_length_px,trimmed_mean_center_component_fraction,other_stable_geometry,7.740558873708892,0.0,1
autocorrelation_length_px,trimmed_mean_projection_peak_count_x,other_stable_geometry,7.721556974652685,0.0,1
autocorrelation_length_px,weighted_mean_projection_peak_prominence_x,other_stable_geometry,7.40818161003881,0.0,1
autocorrelation_length_px,weighted_median_pairwise_distance_hist_3,spacing_pairwise_distance,6.619773401567045,0.0,1
autocorrelation_length_px,std_artifact_candidate_count,mask_quality,6.600303773695259,0.0,1
autocorrelation_length_px,weighted_mean_artifact_candidate_count,mask_quality,6.545947637607355,0.0,1
autocorrelation_length_px,std_right_side_component_fraction,other_stable_geometry,6.328473165040236,0.0,1
autocorrelation_length_px,trimmed_mean_component_density,spot_count_density,6.121649751021096,0.0,1
autocorrelation_length_px,trimmed_mean_elongated_spot_count,spot_count_density,6.089925571775893,0.0,1
autocorrelation_length_px,weighted_mean_fft_low_power,fft_psd,5.638645048265403,0.0,1
autocorrelation_length_px,iqr_pairwise_distance_hist_1,spacing_pairwise_distance,3.936449993711335,0.0,1
autocorrelation_length_px,trimmed_mean_total_component_count,spot_count_density,3.757565362715809,0.0,1
mean_abs_gradient,std_bar_like_score,elongated_bar_like,2.8181741124779682,0.0,1
autocorrelation_length_px,iqr_bar_like_score,elongated_bar_like,2.78901216886527,0.0,1
autocorrelation_length_px,weighted_mean_component_density,spot_count_density,2.5371046202355956,0.0,1
autocorrelation_length_px,trimmed_mean_pairwise_distance_hist_0,spacing_pairwise_distance,2.3510799592183957,0.0,1
autocorrelation_length_px,weighted_median_fft_mid_power,fft_psd,2.008179041581002,0.0,1
gradient_std,std_bar_like_score,elongated_bar_like,1.93898572003789,0.0,1
autocorrelation_length_px,weighted_median_mean_area,other_stable_geometry,1.8547600469452163,0.0,1
autocorrelation_length_px,weighted_median_projection_peak_prominence_x,other_stable_geometry,1.7354564268694048,0.0,1
autocorrelation_length_px,trimmed_mean_snr_score,mask_quality,1.706403660296246,0.0,1
autocorrelation_length_px,weighted_median_right_side_component_fraction,other_stable_geometry,1.4832720844996174,0.0,1
autocorrelation_length_px,trimmed_mean_nearest_neighbor_distance_mean,spacing_pairwise_distance,1.4401759448053326,0.0,1
autocorrelation_length_px,std_bar_like_score,elongated_bar_like,1.340344061135852,0.0,1
mean_abs_gradient,weighted_mean_ring_likeness_proxy,other_stable_geometry,1.3373031469923937,0.0,1
autocorrelation_length_px,iqr_centroid_x_std,other_stable_geometry,1.2994220866472688,0.0,1
autocorrelation_length_px,weighted_mean_total_component_count,spot_count_density,1.0261502977873533,0.0,1
autocorrelation_length_px,weighted_mean_mean_area,other_stable_geometry,0.9590852092890145,0.0,1
autocorrelation_length_px,trimmed_mean_centroid_y_mean,other_stable_geometry,0.9340728042740238,0.0,1
mean_abs_gradient,weighted_median_orientation_entropy,orientation_anisotropy,0.8078070887365243,0.0,1
autocorrelation_length_px,weighted_median_pairwise_distance_hist_0,spacing_pairwise_distance,0.703963812316033,0.0,1
gradient_std,weighted_mean_ring_likeness_proxy,other_stable_geometry,0.673349730651521,0.0,1
autocorrelation_length_px,iqr_median_aspect_ratio,elongated_bar_like,0.6279077881849844,0.0,1
mean_abs_gradient,weighted_median_centroid_x_mean,other_stable_geometry,0.5640968481454625,0.0,1
gradient_std,std_fft_mid_power,fft_psd,0.5433127560913986,0.0,1
autocorrelation_length_px,trimmed_mean_fft_mid_power,fft_psd,0.5284936007835768,0.0,1
mean_abs_gradient,std_pairwise_distance_hist_2,spacing_pairwise_distance,0.5042609620241842,0.0,1
mean_abs_gradient,std_ring_likeness_proxy,other_stable_geometry,0.4602267196902714,0.0,1
mean_abs_gradient,weighted_mean_centroid_y_mean,other_stable_geometry,0.45969888141278403,0.0,1
mean_abs_gradient,weighted_mean_orientation_entropy,orientation_anisotropy,0.4547799789189133,0.0,1
autocorrelation_length_px,weighted_median_centroid_x_std,other_stable_geometry,0.4371015106153209,0.0,1
autocorrelation_length_px,weighted_mean_nearest_neighbor_distance_mean,spacing_pairwise_distance,0.4113648998516055,0.0,1
gradient_std,weighted_mean_centroid_y_mean,other_stable_geometry,0.4008511202238587,0.0,1
autocorrelation_length_px,trimmed_mean_projection_peak_prominence_x,other_stable_geometry,0.40048566477219083,0.0,1
gradient_std,weighted_median_centroid_x_mean,other_stable_geometry,0.3992911311385736,0.0,1
mean_abs_gradient,std_pairwise_distance_hist_1,spacing_pairwise_distance,0.3867728234801131,0.0,1
gradient_std,weighted_median_orientation_entropy,orientation_anisotropy,0.38612891845239306,0.0,1
mean_abs_gradient,weighted_mean_centroid_y_std,other_stable_geometry,0.38336148401656267,0.0,1
gradient_std,std_ring_likeness_proxy,other_stable_geometry,0.3675510714352801,0.0,1
gradient_std,std_pairwise_distance_hist_2,spacing_pairwise_distance,0.3616612114962159,0.0,1
gradient_std,weighted_median_median_aspect_ratio,elongated_bar_like,0.3592478642590087,0.0,1
mean_abs_gradient,weighted_mean_centroid_x_mean,other_stable_geometry,0.3344254271381395,0.0,1
mean_abs_gradient,weighted_median_mean_aspect_ratio,elongated_bar_like,0.3184450662402929,0.0,1
gradient_std,weighted_mean_centroid_x_mean,other_stable_geometry,0.3015749288458007,0.0,1
gradient_std,weighted_mean_centroid_y_std,other_stable_geometry,0.2795496690094472,0.0,1
mean_abs_gradient,std_projection_peak_count_x,other_stable_geometry,0.2756488686458187,0.0,1
mean_abs_gradient,iqr_right_side_component_fraction,other_stable_geometry,0.26374955695356395,0.0,1
gradient_std,weighted_median_mean_aspect_ratio,elongated_bar_like,0.2500979989750971,0.0,1
gradient_std,weighted_mean_pairwise_distance_hist_1,spacing_pairwise_distance,0.23416588589662046,0.0,1
mean_abs_gradient,trimmed_mean_right_side_component_fraction,other_stable_geometry,0.2130398109367464,0.0,1
mean_abs_gradient,weighted_mean_right_side_component_fraction,other_stable_geometry,0.20813367602431843,0.0,1
gradient_std,iqr_projection_peak_prominence_x,other_stable_geometry,0.19514482962115443,0.0,1
mean_abs_gradient,weighted_mean_nearest_neighbor_distance_mean,spacing_pairwise_distance,0.1928959745748262,0.0,1
gradient_std,weighted_mean_nearest_neighbor_distance_mean,spacing_pairwise_distance,0.1918981015793646,0.0,1
gradient_std,weighted_mean_orientation_entropy,orientation_anisotropy,0.17341281514593554,0.0,1
mean_abs_gradient,std_median_aspect_ratio,elongated_bar_like,0.17278721452869306,0.0,1
mean_abs_gradient,weighted_median_projection_peak_count_y,other_stable_geometry,0.15998845596636535,0.0,1
mean_abs_gradient,trimmed_mean_ring_likeness_proxy,other_stable_geometry,0.1556206441744834,0.0,1
mean_abs_gradient,std_snr_score,mask_quality,0.15459655883841794,0.0,1
gradient_std,iqr_right_side_component_fraction,other_stable_geometry,0.1524327041227016,0.0,1
gradient_std,weighted_median_total_component_count,spot_count_density,0.15225860700867555,0.0,1
mean_abs_gradient,weighted_mean_pairwise_distance_hist_1,spacing_pairwise_distance,0.15167923198835176,0.0,1
gradient_std,weighted_median_pairwise_distance_hist_1,spacing_pairwise_distance,0.1503241380718765,0.0,1
mean_abs_gradient,weighted_median_pairwise_distance_hist_1,spacing_pairwise_distance,0.14078912220738804,0.0,1
gradient_std,weighted_mean_center_component_fraction,other_stable_geometry,0.13752491486738938,0.0,1
mean_abs_gradient,std_center_component_fraction,other_stable_geometry,0.136646728746725,0.0,1
