sweep_descriptor,base_row_id,sample_id,guidance_scale,requested_raw,requested_cond,sample_index,generated_std,generated_min,generated_max,generated_height_mean,generated_height_std,generated_rq,generated_ra,generated_peak_to_valley,generated_p01,generated_p05,generated_p50,generated_p95,generated_p99,generated_robust_range,generated_skewness,generated_kurtosis,generated_mean_abs_gradient,generated_gradient_std,generated_gradient_orientation_entropy,generated_gradient_anisotropy,generated_psd_low_power,generated_psd_mid_power,generated_psd_high_power,generated_psd_slope,generated_autocorrelation_length_px,generated_island_coverage,generated_island_count,generated_island_mean_area_px,generated_height_min,generated_height_max,generated_slope_p50,generated_slope_p95,generated_slope_p99,generated_psd_peak_frequency,generated_island_mean_height
rq,afmv2_06e9a8457ab9,6058,0.0,7.176337719,1,2,0.6255989075,-0.9924647808,0.9993344545,0.1055123121,0.6255988646,0.6255988646,0.5507875936,1.991799235,-0.9714633435,-0.9015809,0.1511774883,0.9698001623,0.9950992101,1.966562554,-0.1702636776,1.692893197,0.1720666584,0.1317084883,0.9982977303,0.1046538745,9.175127199,4.066103851,1.326137212,-3.954626886,6,0.25,36,113.7777778,-0.9924647808,0.9993344545,0.1463069215,0.422622551,0.5686494572,0.0234375,0.8755660428
rq,afmv2_06e9a8457ab9,6058,0.0,7.176337719,1,3,0.6247426271,-0.9942014813,0.9993205667,0.02877873994,0.6247426192,0.6247426192,0.5488029243,1.993522048,-0.9698070592,-0.8998067886,0.01109205233,0.96513004,0.9949389976,1.964746057,0.02672095323,1.667712396,0.1703112453,0.1288095029,0.9979442491,0.04127667352,9.150874394,3.982703257,1.384692092,-3.97817699,6,0.25,32,128,-0.9942014813,0.9993205667,0.1445358538,0.4172350072,0.5504141008,0.01104854346,0.8460349664
rq,afmv2_06e9a8457ab9,6058,0.0,7.176337719,1,4,0.6257358789,-0.9977457523,0.9999375343,0.08148147594,0.6257359079,0.6257359079,0.5499236315,1.997683287,-0.979254508,-0.910119465,0.1250425205,0.9659812897,0.9917159009,1.970970409,-0.1300624282,1.687246652,0.1662003309,0.1279582728,0.9986337901,0.1112282968,9.129331493,3.941321355,1.283177502,-4.028126266,6,0.25,39,105.025641,-0.9977457523,0.9999375343,0.1396515826,0.4116273452,0.5539804534,0.0078125,0.8630188439
rq,afmv2_06e9a8457ab9,6058,0.0,7.176337719,1,5,0.6491524577,-0.9928222895,0.9994696379,0.05511358099,0.6491524303,0.6491524303,0.5745635831,1.992291927,-0.9799789006,-0.9369182527,0.05219474435,0.9697330296,0.9934675026,1.973446403,-0.04680442503,1.621820898,0.151746315,0.1237448561,0.9974596696,0.06711643523,9.041448191,3.85575169,1.087758413,-4.147899407,8,0.25,22,186.1818182,-0.9928222895,0.9994696379,0.1232277584,0.3886034124,0.5458855584,0.0078125,0.8836403562
rq,afmv2_06e9a8457ab9,6058,0.0,7.176337719,1,6,0.6269201636,-0.9995918274,0.9997498989,0.1054538234,0.6269201628,0.6269201628,0.5495011762,1.999341726,-0.9879468179,-0.9250014603,0.1709928662,0.965695715,0.9946557552,1.982602573,-0.221350336,1.726722138,0.165274585,0.1273090709,0.999142972,0.01303808498,9.095821885,3.885029333,1.196601545,-4.053419224,6,0.25,32,128,-0.9995918274,0.9997498989,0.1379691786,0.4084755323,0.5521780307,0.02209708691,0.8654122541
rq,afmv2_06e9a8457ab9,6058,0.0,7.176337719,1,7,0.6249771118,-0.9986153245,0.9998232126,0.01891969813,0.6249771034,0.6249771034,0.5521128235,1.998438537,-0.974785583,-0.9023458421,0.008830162697,0.9533240438,0.9953026032,1.970088186,0.0114094913,1.645234148,0.1709635955,0.1303543127,0.9992565599,0.05187168118,9.17551249,4.09582396,1.329325408,-3.979485855,6,0.25,41,99.90243902,-0.9986153245,0.9998232126,0.1442446228,0.4202491482,0.5692625111,0.02470529422,0.828422937
rq,afmv2_06e9a8457ab9,6058,0.0,10.16842508,2,0,0.6255522966,-0.9959879518,0.999945879,0.1014769494,0.6255523327,0.6255523327,0.5472020277,1.995933831,-0.967371577,-0.8901608467,0.1185968667,0.9721956044,0.9964999503,1.963871527,-0.1273121809,1.697660109,0.1573741209,0.1235820719,0.9981637253,0.1502607803,9.032335496,3.812353748,1.202958847,-4.051914114,7,0.25,25,163.84,-0.9959879518,0.999945879,0.1314516314,0.4075811984,0.5374047204,0.01746928107,0.8879898718
rq,afmv2_06e9a8457ab9,6058,0.0,10.16842508,2,1,0.6233355403,-0.9994242191,0.9996099472,0.1003002776,0.6233355717,0.6233355717,0.5449193784,1.999034166,-0.9801819915,-0.9102911949,0.1645745263,0.9701863348,0.995772121,1.975954112,-0.2047976199,1.728440641,0.1678262913,0.1291651078,0.9974623166,0.08027646784,9.154078104,3.993622458,1.31251581,-3.995420368,6,0.25,38,107.7894737,-0.9994242191,0.9996099472,0.1417437637,0.420648682,0.5526811845,0.01746928107,0.861381269
rq,afmv2_06e9a8457ab9,6058,0.0,10.16842508,2,2,0.6392537355,-0.9980072975,0.9982219934,0.03157071839,0.6392537496,0.6392537496,0.5631382886,1.996229291,-0.98594742,-0.9376188993,0.04241142608,0.9593646079,0.9892479759,1.975195396,-0.0514399878,1.646723194,0.1648922287,0.1276525072,0.9962926647,0.2217904361,9.124938288,3.956420932,1.266713928,-4.052492504,7,0.25,31,132.1290323,-0.9980072975,0.9982219934,0.1394042431,0.4123007475,0.5690544975,0.01104854346,0.8463121849
rq,afmv2_06e9a8457ab9,6058,0.0,10.16842508,2,3,0.6332343221,-0.9936910272,0.9992172718,0.06450695032,0.6332343254,0.6332343254,0.5568301124,1.992908299,-0.9722199243,-0.8974184573,0.05668138154,0.9682814091,0.9923384869,1.964558411,-0.04552335223,1.652118554,0.1678412719,0.13101081,0.9985775189,0.06541257281,9.207505604,4.148251463,1.292411902,-4.018533346,6,0.25,26,157.5384615,-0.9936910272,0.9992172718,0.1412607652,0.421176101,0.5644794637,0.01104854346,0.8769245024
rq,afmv2_06e9a8457ab9,6058,0.0,10.16842508,2,4,0.6338758469,-0.9955444336,0.998930037,0.02626967085,0.6338758629,0.6338758629,0.5578748093,1.994474471,-0.9789519072,-0.9315817833,0.02742969338,0.9513835311,0.9916034925,1.9705554,-0.03984805978,1.653170514,0.1635497377,0.1219447393,0.9987491666,0.07218028388,9.137247316,3.976248645,1.225522882,-4.067309205,7,0.25,30,136.5333333,-0.9955444336,0.998930037,0.140801249,0.3980799906,0.5353548986,0.01104854346,0.8362791032
rq,afmv2_06e9a8457ab9,6058,0.0,10.16842508,2,5,0.6363506317,-0.9991422296,0.9997361898,0.04533751579,0.636350628,0.636350628,0.5638872279,1.998878419,-0.9859372896,-0.933225292,0.08346793056,0.9495525062,0.9919956899,1.977932979,-0.1044026596,1.633878836,0.1586485414,0.1243245213,0.9977792181,0.05780479779,9.061785922,3.900530128,1.187834925,-4.083654883,7,0.25,31,132.1290323,-0.9991422296,0.9997361898,0.1283619943,0.4067854442,0.5343631191,0.0078125,0.8374287946
